,Resale-Cat,model,fuel_type,vehicle_class,displ,cyl,trans,drive,smog_rating,city_mpg,hwy_mpg,cmb_mpg,Greenhouse_gas_score,smartway,comb_CO2,Sales_2016,Sales_2017,Sales_2018
68,Low,FIAT 500X,Gasoline,small SUV,2.4,4.0,Auto-9,2WD,6,22.0,31.0,25.0,6,No,350.0,14380,11467,4916
69,Low,FIAT 500X,Gasoline,small SUV,2.4,4.0,Auto-9,2WD,6,22.0,31.0,25.0,6,No,350.0,14380,11467,4916
70,Low,FIAT 500X,Gasoline,small SUV,2.4,4.0,Auto-9,4WD,6,21.0,30.0,24.0,5,No,361.0,14380,11467,4916
71,Low,FIAT 500X,Gasoline,small SUV,2.4,4.0,Auto-9,4WD,6,21.0,30.0,24.0,5,No,361.0,14380,11467,4916
72,Low,FIAT 500e,Electricity,small car,0,0,Auto-1,2WD,10,121.0,103.0,112.0,10,Elite,0.0,12071,8731,7909
73,Low,FIAT 500e,Electricity,small car,0,0,Auto-1,2WD,10,121.0,103.0,112.0,10,Elite,0.0,12071,8731,7909
74,High,GMC Canyon,Gasoline,pickup,2.5,4.0,Auto-6,2WD,6,20.0,27.0,22.0,5,No,397.0,35179,30047,5042
75,High,GMC Canyon,Gasoline,pickup,2.5,4.0,Auto-6,2WD,6,20.0,27.0,22.0,5,No,397.0,35179,30047,5042
76,High,GMC Canyon,Gasoline,pickup,2.5,4.0,Auto-6,4WD,6,19.0,25.0,21.0,5,No,426.0,35179,30047,5042
77,High,GMC Canyon,Gasoline,pickup,2.5,4.0,Auto-6,4WD,6,19.0,25.0,21.0,5,No,426.0,35179,30047,5042
78,High,GMC Canyon,Gasoline,pickup,2.5,4.0,Man-6,2WD,6,19.0,26.0,22.0,5,No,406.0,35179,30047,5042
79,High,GMC Canyon,Gasoline,pickup,2.5,4.0,Man-6,2WD,6,19.0,26.0,22.0,5,No,406.0,35179,30047,5042
80,High,GMC Canyon,Diesel,pickup,2.8,4.0,Auto-6,2WD,5,22.0,31.0,25.0,5,No,406.0,35179,30047,5042
81,High,GMC Canyon,Diesel,pickup,2.8,4.0,Auto-6,2WD,6,22.0,31.0,25.0,5,No,406.0,35179,30047,5042
82,High,GMC Canyon,Diesel,pickup,2.8,4.0,Auto-6,4WD,5,20.0,29.0,23.0,4,No,445.0,35179,30047,5042
83,High,GMC Canyon,Diesel,pickup,2.8,4.0,Auto-6,4WD,6,20.0,29.0,23.0,4,No,445.0,35179,30047,5042
84,High,GMC Canyon,Gasoline,pickup,3.6,6.0,Auto-6,2WD,6,18.0,26.0,21.0,5,No,427.0,35179,30047,5042
85,High,GMC Canyon,Gasoline,pickup,3.6,6.0,Auto-6,2WD,6,18.0,26.0,21.0,5,No,427.0,35179,30047,5042
86,High,GMC Canyon,Gasoline,special purpose,3.6,6.0,Auto-6,2WD,6,15.0,17.0,16.0,3,No,555.0,35179,30047,5042
87,High,GMC Canyon,Gasoline,special purpose,3.6,6.0,Auto-6,2WD,6,15.0,17.0,16.0,3,No,555.0,35179,30047,5042
88,High,GMC Canyon,Gasoline,pickup,3.6,6.0,Auto-6,4WD,6,17.0,24.0,20.0,4,No,450.0,35179,30047,5042
89,High,GMC Canyon,Gasoline,pickup,3.6,6.0,Auto-6,4WD,6,17.0,24.0,20.0,4,No,450.0,35179,30047,5042
90,High,GMC Sierra 15,Ethanol/Gas,pickup,4.3,6.0,Auto-6,2WD,6,15.0,20.0,17.0,4,No,453.0,207299,204211,30244
91,High,GMC Sierra 15,Ethanol/Gas,pickup,4.3,6.0,Auto-6,2WD,6,15.0,20.0,17.0,4,No,453.0,207299,204211,30244
92,High,GMC Sierra 15,Ethanol/Gas,pickup,4.3,6.0,Auto-6,4WD,6,14.5,18.5,16.0,4,No,480.0,207299,204211,30244
93,High,GMC Sierra 15,Ethanol/Gas,pickup,4.3,6.0,Auto-6,4WD,6,14.5,18.5,16.0,4,No,480.0,207299,204211,30244
