Resale-Cat,fuel_type,vehicle_class,trans,drive,smog_rating,city_mpg,hwy_mpg,cmb_mpg,Greenhouse_gas_score,smartway,comb_CO2,Sales_2016,Sales_2017,Sales_2018
0,0,2,2,0,5,22.0,31.0,2,5,1,406.0,103217,106583,20848
0,0,2,2,0,6,22.0,31.0,2,5,1,406.0,103217,106583,20848
1,3,4,2,0,5,24.0,32.0,2,6,1,322.0,14380,11467,4916
1,3,4,2,0,6,24.0,32.0,2,6,1,322.0,14380,11467,4916
1,3,4,2,0,5,27.0,34.0,2,7,1,295.0,14380,11467,4916
1,3,4,2,0,6,27.0,34.0,2,7,2,295.0,14380,11467,4916
1,3,4,5,0,5,28.0,34.0,2,7,1,295.0,14380,11467,4916
1,3,4,5,0,6,28.0,34.0,2,7,2,295.0,14380,11467,4916
1,3,4,5,0,5,31.0,40.0,2,8,2,259.0,14380,11467,4916
1,3,4,5,0,6,31.0,40.0,2,8,2,259.0,14380,11467,4916
1,3,4,2,0,5,24.0,32.0,2,6,1,322.0,14380,11467,4916
1,3,4,2,0,6,24.0,32.0,2,6,1,322.0,14380,11467,4916
1,3,4,5,0,5,28.0,34.0,2,7,1,295.0,14380,11467,4916
1,3,6,2,0,5,22.0,30.0,2,6,1,351.0,14380,11467,4916
1,3,6,2,0,6,22.0,30.0,2,6,1,351.0,14380,11467,4916
1,3,6,6,0,5,25.0,33.0,2,7,1,312.0,14380,11467,4916
1,3,6,6,0,6,25.0,33.0,2,7,2,312.0,14380,11467,4916
1,3,3,6,0,5,25.0,34.0,2,7,1,313.0,14380,11467,4916
1,3,3,6,0,6,25.0,34.0,2,7,2,313.0,14380,11467,4916
1,3,3,4,0,6,22.0,31.0,2,6,1,350.0,14380,11467,4916
1,3,3,4,0,6,22.0,31.0,2,6,1,350.0,14380,11467,4916
1,3,3,4,1,6,21.0,30.0,2,5,1,361.0,14380,11467,4916
1,3,3,4,1,6,21.0,30.0,2,5,1,361.0,14380,11467,4916
0,0,2,2,0,5,22.0,31.0,2,5,1,406.0,35179,30047,5042
0,0,2,2,0,6,22.0,31.0,2,5,1,406.0,35179,30047,5042
